id,finding_text,vulnerability_type,cwe,source_type,file_extension,user_input,dangerous_api,recommended_fix
1,"User input directly concatenated into SQL query","SQL Injection","CWE-89","semgrep",".py",1,1,"Use parameterized queries or prepared statements"
2,"Request parameter inserted directly into SQL statement","SQL Injection","CWE-89","semgrep",".py",1,1,"Use parameterized queries or prepared statements"
3,"Unsanitized username used in database query","SQL Injection","CWE-89","semgrep",".py",1,1,"Use parameterized queries or prepared statements"
4,"User controlled value concatenated with SQL command","SQL Injection","CWE-89","semgrep",".js",1,1,"Use parameterized queries or prepared statements"
5,"Dynamic SQL query constructed from request input","SQL Injection","CWE-89","semgrep",".java",1,1,"Use parameterized queries or prepared statements"
6,"Untrusted input passed into database query","SQL Injection","CWE-89","semgrep",".php",1,1,"Use parameterized queries or prepared statements"
7,"HTTP parameter directly used in SQL query","SQL Injection","CWE-89","semgrep",".py",1,1,"Use parameterized queries or prepared statements"
8,"String concatenation used to construct SQL query","SQL Injection","CWE-89","semgrep",".js",1,1,"Use parameterized queries or prepared statements"
9,"Database query contains unsanitized user input","SQL Injection","CWE-89","semgrep",".php",1,1,"Use parameterized queries or prepared statements"
10,"User supplied ID concatenated into SQL statement","SQL Injection","CWE-89","semgrep",".java",1,1,"Use parameterized queries or prepared statements"
11,"Request data concatenated with SQL command","SQL Injection","CWE-89","semgrep",".py",1,1,"Use parameterized queries or prepared statements"
12,"Untrusted form value inserted into SQL query","SQL Injection","CWE-89","semgrep",".php",1,1,"Use parameterized queries or prepared statements"
13,"Input from request used in raw database query","SQL Injection","CWE-89","semgrep",".js",1,1,"Use parameterized queries or prepared statements"
14,"SQL query built using string interpolation","SQL Injection","CWE-89","semgrep",".py",1,1,"Use parameterized queries or prepared statements"
15,"User input reaches SQL execution without parameterization","SQL Injection","CWE-89","semgrep",".java",1,1,"Use parameterized queries or prepared statements"
16,"Untrusted parameter used in SELECT query","SQL Injection","CWE-89","semgrep",".py",1,1,"Use parameterized queries or prepared statements"
17,"User-controlled input used in database statement","SQL Injection","CWE-89","semgrep",".js",1,1,"Use parameterized queries or prepared statements"
18,"Raw SQL query contains request parameter","SQL Injection","CWE-89","semgrep",".php",1,1,"Use parameterized queries or prepared statements"
19,"Dynamic database statement uses untrusted input","SQL Injection","CWE-89","semgrep",".py",1,1,"Use parameterized queries or prepared statements"
